ticker,mktshare,ipo_date
002311.SZ,"1,537,363,254.00",11/27/2009
002312.SZ,"773,027,129.00",12/3/2009
002313.SZ,"312,000,000.00",12/3/2009
002314.SZ,"1,877,530,273.00",12/3/2009
002315.SZ,"117,500,000.00",12/9/2009
002316.SZ,"393,120,000.00",12/9/2009
002317.SZ,"738,612,000.00",12/11/2009
002318.SZ,"336,602,373.00",12/11/2009
002319.SZ,"200,000,000.00",12/11/2009
002320.SZ,"425,880,000.00",12/16/2009
002321.SZ,"425,800,000.00",12/16/2009
002322.SZ,"278,040,000.00",12/18/2009
002323.SZ,"248,576,552.00",12/18/2009
002324.SZ,"270,000,000.00",12/18/2009
002325.SZ,"1,001,542,415.00",12/22/2009
002326.SZ,"798,702,881.00",12/22/2009
002327.SZ,"861,282,625.00",12/30/2009
002328.SZ,"450,000,000.00",12/30/2009
002329.SZ,"815,849,986.00",1/6/2010
002330.SZ,"502,000,000.00",1/6/2010
002331.SZ,"291,939,213.00",1/6/2010
002332.SZ,"512,100,000.00",1/12/2010
002333.SZ,"251,301,800.00",1/12/2010
002334.SZ,"717,331,980.00",1/13/2010
002335.SZ,"224,395,500.00",1/13/2010
002336.SZ,"400,000,000.00",1/13/2010
002337.SZ,"594,282,750.00",1/15/2010
002338.SZ,"120,000,000.00",1/15/2010
002339.SZ,"378,896,000.00",1/22/2010
002340.SZ,"1,200,992,217.00",1/22/2010
002341.SZ,"373,440,000.00",1/22/2010
002342.SZ,"960,000,000.00",1/26/2010
002343.SZ,"314,510,000.00",1/26/2010
002344.SZ,"1,120,000,000.00",1/26/2010
002345.SZ,"845,111,200.00",1/28/2010
002346.SZ,"441,575,416.00",1/28/2010
002347.SZ,"224,675,281.00",1/28/2010
002348.SZ,"473,600,000.00",2/3/2010
002349.SZ,"260,000,000.00",2/3/2010
002350.SZ,"218,280,000.00",2/3/2010
002351.SZ,"294,000,000.00",2/5/2010
002352.SZ,"116,746,170.00",2/5/2010
002353.SZ,"957,853,992.00",2/5/2010
002354.SZ,"222,928,707.00",2/9/2010
002355.SZ,"513,700,050.00",2/9/2010
002356.SZ,"310,474,440.00",2/9/2010
002357.SZ,"313,489,036.00",2/10/2010
002358.SZ,"795,595,488.00",2/10/2010
002359.SZ,"416,800,000.00",2/10/2010
002360.SZ,"391,512,600.00",3/3/2010
002361.SZ,"382,050,984.00",3/3/2010
002362.SZ,"214,102,792.00",3/3/2010
002363.SZ,"298,800,000.00",3/5/2010
002364.SZ,"523,242,380.00",3/5/2010
002365.SZ,"187,000,000.00",3/5/2010
002366.SZ,"433,528,675.00",3/12/2010
002367.SZ,"738,600,124.00",3/12/2010
002368.SZ,"415,597,227.00",3/12/2010
002369.SZ,"488,948,250.00",3/16/2010
002370.SZ,"204,000,000.00",3/16/2010
002371.SZ,"352,200,000.00",3/16/2010
002372.SZ,"578,689,800.00",3/18/2010
002373.SZ,"505,507,719.00",3/18/2010
002374.SZ,"329,653,221.00",3/18/2010
002375.SZ,"1,338,137,219.00",3/23/2010
002376.SZ,"600,000,000.00",3/23/2010
002377.SZ,"438,140,000.00",3/23/2010
002378.SZ,"924,167,436.00",3/31/2010
002379.SZ,"926,400,000.00",3/31/2010
002380.SZ,"102,000,000.00",3/31/2010
002381.SZ,"351,000,000.00",4/2/2010
002382.SZ,"247,200,000.00",4/2/2010
002383.SZ,"197,328,688.00",4/2/2010
002384.SZ,"847,390,270.00",4/9/2010
002385.SZ,"2,497,474,371.00",4/9/2010
002386.SZ,"671,679,806.00",4/9/2010
002387.SZ,"469,459,458.00",4/13/2010
002388.SZ,"399,600,000.00",4/13/2010
002389.SZ,"710,650,500.00",4/13/2010
002390.SZ,"1,251,136,330.00",4/16/2010
002391.SZ,"362,138,180.00",4/16/2010
002392.SZ,"1,198,559,434.00",4/23/2010
002393.SZ,"182,454,992.00",4/23/2010
002394.SZ,"323,700,000.00",4/23/2010
002395.SZ,"178,806,000.00",4/29/2010
002396.SZ,"539,111,233.00",6/23/2010
002397.SZ,"672,399,594.00",4/29/2010
002398.SZ,"342,732,000.00",5/6/2010
002399.SZ,"800,200,000.00",5/6/2010
